#ALMA_B5
#photon
# Top hat filter at 1.4-1.8mm

1.40000000e+07	0.0
1.40396040e+07	1.0
1.40792079e+07	1.0
1.41188119e+07	1.0
1.41584158e+07	1.0
1.41980198e+07	1.0
1.42376238e+07	1.0
1.42772277e+07	1.0
1.43168317e+07	1.0
1.43564356e+07	1.0
1.43960396e+07	1.0
1.44356436e+07	1.0
1.44752475e+07	1.0
1.45148515e+07	1.0
1.45544554e+07	1.0
1.45940594e+07	1.0
1.46336634e+07	1.0
1.46732673e+07	1.0
1.47128713e+07	1.0
1.47524752e+07	1.0
1.47920792e+07	1.0
1.48316832e+07	1.0
1.48712871e+07	1.0
1.49108911e+07	1.0
1.49504950e+07	1.0
1.49900990e+07	1.0
1.50297030e+07	1.0
1.50693069e+07	1.0
1.51089109e+07	1.0
1.51485149e+07	1.0
1.51881188e+07	1.0
1.52277228e+07	1.0
1.52673267e+07	1.0
1.53069307e+07	1.0
1.53465347e+07	1.0
1.53861386e+07	1.0
1.54257426e+07	1.0
1.54653465e+07	1.0
1.55049505e+07	1.0
1.55445545e+07	1.0
1.55841584e+07	1.0
1.56237624e+07	1.0
1.56633663e+07	1.0
1.57029703e+07	1.0
1.57425743e+07	1.0
1.57821782e+07	1.0
1.58217822e+07	1.0
1.58613861e+07	1.0
1.59009901e+07	1.0
1.59405941e+07	1.0
1.59801980e+07	1.0
1.60198020e+07	1.0
1.60594059e+07	1.0
1.60990099e+07	1.0
1.61386139e+07	1.0
1.61782178e+07	1.0
1.62178218e+07	1.0
1.62574257e+07	1.0
1.62970297e+07	1.0
1.63366337e+07	1.0
1.63762376e+07	1.0
1.64158416e+07	1.0
1.64554455e+07	1.0
1.64950495e+07	1.0
1.65346535e+07	1.0
1.65742574e+07	1.0
1.66138614e+07	1.0
1.66534653e+07	1.0
1.66930693e+07	1.0
1.67326733e+07	1.0
1.67722772e+07	1.0
1.68118812e+07	1.0
1.68514851e+07	1.0
1.68910891e+07	1.0
1.69306931e+07	1.0
1.69702970e+07	1.0
1.70099010e+07	1.0
1.70495050e+07	1.0
1.70891089e+07	1.0
1.71287129e+07	1.0
1.71683168e+07	1.0
1.72079208e+07	1.0
1.72475248e+07	1.0
1.72871287e+07	1.0
1.73267327e+07	1.0
1.73663366e+07	1.0
1.74059406e+07	1.0
1.74455446e+07	1.0
1.74851485e+07	1.0
1.75247525e+07	1.0
1.75643564e+07	1.0
1.76039604e+07	1.0
1.76435644e+07	1.0
1.76831683e+07	1.0
1.77227723e+07	1.0
1.77623762e+07	1.0
1.78019802e+07	1.0
1.78415842e+07	1.0
1.78811881e+07	1.0
1.79207921e+07	1.0
1.79603960e+07	1.0
1.80000000e+07	0.0
