# redshift	D_L [Mpc]	Age [yr]
1.00000000e-05	4.25844949e-02	1.37534902e+10
1.02096066e-05	4.34771014e-02	1.37534873e+10
1.04236067e-05	4.43884178e-02	1.37534843e+10
1.06420924e-05	4.53188363e-02	1.37534813e+10
1.08651577e-05	4.62687573e-02	1.37534782e+10
1.10928986e-05	4.72385897e-02	1.37534750e+10
1.13254132e-05	4.82287507e-02	1.37534718e+10
1.15628013e-05	4.92396666e-02	1.37534685e+10
1.18051653e-05	5.02717723e-02	1.37534651e+10
1.20526094e-05	5.13255121e-02	1.37534617e+10
1.23052400e-05	5.24013393e-02	1.37534582e+10
1.25631660e-05	5.34997171e-02	1.37534546e+10
1.28264983e-05	5.46211180e-02	1.37534509e+10
1.30953502e-05	5.57660248e-02	1.37534472e+10
1.33698374e-05	5.69349300e-02	1.37534434e+10
1.36500781e-05	5.81283368e-02	1.37534395e+10
1.39361927e-05	5.93467588e-02	1.37534355e+10
1.42283046e-05	6.05907203e-02	1.37534315e+10
1.45265393e-05	6.18607566e-02	1.37534273e+10
1.48310251e-05	6.31574143e-02	1.37534231e+10
1.51418933e-05	6.44812515e-02	1.37534188e+10
1.54592774e-05	6.58328379e-02	1.37534144e+10
1.57833141e-05	6.72127551e-02	1.37534099e+10
1.61141428e-05	6.86215970e-02	1.37534053e+10
1.64519059e-05	7.00599700e-02	1.37534006e+10
1.67967487e-05	7.15284930e-02	1.37533958e+10
1.71488197e-05	7.30277980e-02	1.37533909e+10
1.75082703e-05	7.45585303e-02	1.37533859e+10
1.78752553e-05	7.61213488e-02	1.37533808e+10
1.82499324e-05	7.77169258e-02	1.37533756e+10
1.86324631e-05	7.93459482e-02	1.37533703e+10
1.90230119e-05	8.10091170e-02	1.37533649e+10
1.94217468e-05	8.27071480e-02	1.37533593e+10
1.98288395e-05	8.44407720e-02	1.37533537e+10
2.02444651e-05	8.62107350e-02	1.37533479e+10
2.06688025e-05	8.80177988e-02	1.37533420e+10
2.11020343e-05	8.98627412e-02	1.37533360e+10
2.15443469e-05	9.17463560e-02	1.37533298e+10
2.19959307e-05	9.36694541e-02	1.37533236e+10
2.24569800e-05	9.56328630e-02	1.37533172e+10
2.29276931e-05	9.76374277e-02	1.37533106e+10
2.34082728e-05	9.96840110e-02	1.37533040e+10
2.38989257e-05	1.01773494e-01	1.37532971e+10
2.43998630e-05	1.03906775e-01	1.37532902e+10
2.49113003e-05	1.06084773e-01	1.37532831e+10
2.54334576e-05	1.08308425e-01	1.37532758e+10
2.59665597e-05	1.10578688e-01	1.37532684e+10
2.65108360e-05	1.12896540e-01	1.37532609e+10
2.70665207e-05	1.15262977e-01	1.37532531e+10
2.76338529e-05	1.17679018e-01	1.37532453e+10
2.82130768e-05	1.20145704e-01	1.37532372e+10
2.88044415e-05	1.22664095e-01	1.37532290e+10
2.94082017e-05	1.25235276e-01	1.37532206e+10
3.00246171e-05	1.27860353e-01	1.37532121e+10
3.06539530e-05	1.30540456e-01	1.37532033e+10
3.12964801e-05	1.33276739e-01	1.37531944e+10
3.19524751e-05	1.36070378e-01	1.37531853e+10
3.26222201e-05	1.38922578e-01	1.37531760e+10
3.33060034e-05	1.41834564e-01	1.37531665e+10
3.40041193e-05	1.44807591e-01	1.37531568e+10
3.47168682e-05	1.47842938e-01	1.37531469e+10
3.54445567e-05	1.50941911e-01	1.37531368e+10
3.61874981e-05	1.54105845e-01	1.37531265e+10
3.69460121e-05	1.57336100e-01	1.37531159e+10
3.77204249e-05	1.60634068e-01	1.37531052e+10
3.85110700e-05	1.64001168e-01	1.37530942e+10
3.93182876e-05	1.67438849e-01	1.37530830e+10
4.01424249e-05	1.70948590e-01	1.37530715e+10
4.09838367e-05	1.74531902e-01	1.37530599e+10
4.18428851e-05	1.78190328e-01	1.37530479e+10
4.27199397e-05	1.81925443e-01	1.37530357e+10
4.36153779e-05	1.85738853e-01	1.37530233e+10
4.45295851e-05	1.89632200e-01	1.37530106e+10
4.54629547e-05	1.93607161e-01	1.37529976e+10
4.64158883e-05	1.97665445e-01	1.37529844e+10
4.73887961e-05	2.01808800e-01	1.37529709e+10
4.83820966e-05	2.06039009e-01	1.37529571e+10
4.93962174e-05	2.10357893e-01	1.37529430e+10
5.04315949e-05	2.14767310e-01	1.37529286e+10
5.14886745e-05	2.19269160e-01	1.37529140e+10
5.25679112e-05	2.23865379e-01	1.37528990e+10
5.36697695e-05	2.28557946e-01	1.37528837e+10
5.47947234e-05	2.33348881e-01	1.37528680e+10
5.59432571e-05	2.38240246e-01	1.37528521e+10
5.71158648e-05	2.43234146e-01	1.37528358e+10
5.83130511e-05	2.48332731e-01	1.37528192e+10
5.95353313e-05	2.53538197e-01	1.37528022e+10
6.07832313e-05	2.58852782e-01	1.37527849e+10
6.20572881e-05	2.64278776e-01	1.37527672e+10
6.33580499e-05	2.69818513e-01	1.37527491e+10
6.46860766e-05	2.75474379e-01	1.37527307e+10
6.60419396e-05	2.81248808e-01	1.37527118e+10
6.74262224e-05	2.87144286e-01	1.37526926e+10
6.88395207e-05	2.93163350e-01	1.37526730e+10
7.02824426e-05	2.99308592e-01	1.37526530e+10
7.17556092e-05	3.05582656e-01	1.37526325e+10
7.32596543e-05	3.11988244e-01	1.37526116e+10
7.47952252e-05	3.18528114e-01	1.37525903e+10
7.63629826e-05	3.25205080e-01	1.37525685e+10
7.79636013e-05	3.32022017e-01	1.37525463e+10
7.95977700e-05	3.38981859e-01	1.37525236e+10
8.12661920e-05	3.46087603e-01	1.37525004e+10
8.29695852e-05	3.53342307e-01	1.37524768e+10
8.47086827e-05	3.60749095e-01	1.37524526e+10
8.64842328e-05	3.68311156e-01	1.37524280e+10
8.82969996e-05	3.76031744e-01	1.37524028e+10
9.01477631e-05	3.83914184e-01	1.37523771e+10
9.20373200e-05	3.91961869e-01	1.37523508e+10
9.39664831e-05	4.00178263e-01	1.37523240e+10
9.59360829e-05	4.08566905e-01	1.37522967e+10
9.79469667e-05	4.17131406e-01	1.37522688e+10
1.00000000e-04	4.25875452e-01	1.37522403e+10
1.02096066e-04	4.34802809e-01	1.37522111e+10
1.04236067e-04	4.43917320e-01	1.37521814e+10
1.06420924e-04	4.53222909e-01	1.37521511e+10
1.08651577e-04	4.62723582e-01	1.37521201e+10
1.10928986e-04	4.72423431e-01	1.37520885e+10
1.13254132e-04	4.82326632e-01	1.37520562e+10
1.15628013e-04	4.92437448e-01	1.37520232e+10
1.18051653e-04	5.02760232e-01	1.37519896e+10
1.20526094e-04	5.13299431e-01	1.37519552e+10
1.23052400e-04	5.24059580e-01	1.37519201e+10
1.25631660e-04	5.35045314e-01	1.37518843e+10
1.28264983e-04	5.46261363e-01	1.37518477e+10
1.30953502e-04	5.57712556e-01	1.37518104e+10
1.33698374e-04	5.69403825e-01	1.37517723e+10
1.36500781e-04	5.81340202e-01	1.37517334e+10
1.39361927e-04	5.93526829e-01	1.37516936e+10
1.42283046e-04	6.05968953e-01	1.37516531e+10
1.45265393e-04	6.18671932e-01	1.37516117e+10
1.48310251e-04	6.31641236e-01	1.37515694e+10
1.51418933e-04	6.44882450e-01	1.37515262e+10
1.54592774e-04	6.58401276e-01	1.37514821e+10
1.57833141e-04	6.72203536e-01	1.37514372e+10
1.61141428e-04	6.86295174e-01	1.37513912e+10
1.64519059e-04	7.00682259e-01	1.37513443e+10
1.67967487e-04	7.15370986e-01	1.37512964e+10
1.71488197e-04	7.30367682e-01	1.37512475e+10
1.75082703e-04	7.45678805e-01	1.37511976e+10
1.78752553e-04	7.61310949e-01	1.37511467e+10
1.82499324e-04	7.77270848e-01	1.37510946e+10
1.86324631e-04	7.93565376e-01	1.37510415e+10
1.90230119e-04	8.10201549e-01	1.37509873e+10
1.94217468e-04	8.27186535e-01	1.37509319e+10
1.98288395e-04	8.44527648e-01	1.37508754e+10
2.02444651e-04	8.62232358e-01	1.37508177e+10
