# redshift	D_L [Mpc]	Age [yr]
8.29695852e-05	3.67650576e-01	1.37856863e+10
8.47086827e-05	3.75357276e-01	1.37856612e+10
8.64842328e-05	3.83225534e-01	1.37856355e+10
8.82969996e-05	3.91258739e-01	1.37856094e+10
9.01477631e-05	3.99460348e-01	1.37855826e+10
9.20373200e-05	4.07833892e-01	1.37855553e+10
9.39664831e-05	4.16382976e-01	1.37855274e+10
9.59360829e-05	4.25111281e-01	1.37854990e+10
9.79469667e-05	4.34022564e-01	1.37854699e+10
1.00000000e-04	4.43120662e-01	1.37854403e+10
1.02096066e-04	4.52409491e-01	1.37854100e+10
1.04236067e-04	4.61893051e-01	1.37853790e+10
1.06420924e-04	4.71575425e-01	1.37853475e+10
1.08651577e-04	4.81460782e-01	1.37853152e+10
1.10928986e-04	4.91553377e-01	1.37852823e+10
1.13254132e-04	5.01857555e-01	1.37852487e+10
1.15628013e-04	5.12377754e-01	1.37852144e+10
1.18051653e-04	5.23118503e-01	1.37851794e+10
1.20526094e-04	5.34084427e-01	1.37851437e+10
1.23052400e-04	5.45280246e-01	1.37851072e+10
1.25631660e-04	5.56710781e-01	1.37850699e+10
1.28264983e-04	5.68380955e-01	1.37850318e+10
1.30953502e-04	5.80295792e-01	1.37849930e+10
1.33698374e-04	5.92460423e-01	1.37849533e+10
1.36500781e-04	6.04880085e-01	1.37849129e+10
1.39361927e-04	6.17560126e-01	1.37848715e+10
1.42283046e-04	6.30506007e-01	1.37848293e+10
1.45265393e-04	6.43723302e-01	1.37847862e+10
1.48310251e-04	6.57217703e-01	1.37847422e+10
1.51418933e-04	6.70995020e-01	1.37846973e+10
1.54592774e-04	6.85061186e-01	1.37846514e+10
1.57833141e-04	6.99422260e-01	1.37846046e+10
1.61141428e-04	7.14084424e-01	1.37845568e+10
1.64519059e-04	7.29053994e-01	1.37845080e+10
1.67967487e-04	7.44337416e-01	1.37844582e+10
1.71488197e-04	7.59941271e-01	1.37844073e+10
1.75082703e-04	7.75872281e-01	1.37843554e+10
1.78752553e-04	7.92137306e-01	1.37843024e+10
1.82499324e-04	8.08743351e-01	1.37842483e+10
1.86324631e-04	8.25697568e-01	1.37841930e+10
1.90230119e-04	8.43007259e-01	1.37841366e+10
1.94217468e-04	8.60679880e-01	1.37840790e+10
1.98288395e-04	8.78723042e-01	1.37840201e+10
2.02444651e-04	8.97144516e-01	1.37839601e+10
2.06688025e-04	9.15952238e-01	1.37838988e+10
2.11020343e-04	9.35154308e-01	1.37838362e+10
2.15443469e-04	9.54758999e-01	1.37837723e+10
2.19959307e-04	9.74774753e-01	1.37837071e+10
2.24569800e-04	9.95210194e-01	1.37836405e+10
2.29276931e-04	1.01607412e+00	1.37835725e+10
2.34082728e-04	1.03737553e+00	1.37835030e+10
2.38989257e-04	1.05912359e+00	1.37834321e+10
2.43998630e-04	1.08132767e+00	1.37833598e+10
2.49113003e-04	1.10399735e+00	1.37832859e+10
2.54334576e-04	1.12714237e+00	1.37832105e+10
2.59665597e-04	1.15077272e+00	1.37831334e+10
2.65108360e-04	1.17489858e+00	1.37830548e+10
2.70665207e-04	1.19953034e+00	1.37829745e+10
2.76338529e-04	1.22467862e+00	1.37828926e+10
2.82130768e-04	1.25035424e+00	1.37828089e+10
2.88044415e-04	1.27656828e+00	1.37827235e+10
2.94082017e-04	1.30333203e+00	1.37826363e+10
3.00246171e-04	1.33065701e+00	1.37825472e+10
3.06539530e-04	1.35855502e+00	1.37824563e+10
3.12964801e-04	1.38703806e+00	1.37823635e+10
3.19524751e-04	1.41611841e+00	1.37822688e+10
