# redshift	D_L [Mpc]	Age [yr]
1.00000000e-05	4.42566816e-02	1.37974716e+10
1.02096066e-05	4.51843382e-02	1.37974685e+10
1.04236067e-05	4.61314395e-02	1.37974654e+10
1.06420924e-05	4.70983929e-02	1.37974623e+10
1.08651577e-05	4.80856146e-02	1.37974591e+10
1.10928986e-05	4.90935296e-02	1.37974558e+10
1.13254132e-05	5.01225714e-02	1.37974524e+10
1.15628013e-05	5.11731830e-02	1.37974490e+10
1.18051653e-05	5.22458166e-02	1.37974455e+10
1.20526094e-05	5.33409336e-02	1.37974419e+10
1.23052400e-05	5.44590055e-02	1.37974383e+10
1.25631660e-05	5.56005133e-02	1.37974346e+10
1.28264983e-05	5.67659484e-02	1.37974308e+10
1.30953502e-05	5.79558123e-02	1.37974269e+10
1.33698374e-05	5.91706169e-02	1.37974229e+10
1.36500781e-05	6.04108853e-02	1.37974189e+10
1.39361927e-05	6.16771510e-02	1.37974147e+10
1.42283046e-05	6.29699590e-02	1.37974105e+10
1.45265393e-05	6.42898658e-02	1.37974062e+10
1.48310251e-05	6.56374393e-02	1.37974018e+10
1.51418933e-05	6.70132596e-02	1.37973973e+10
1.54592774e-05	6.84179185e-02	1.37973928e+10
1.57833141e-05	6.98520208e-02	1.37973881e+10
1.61141428e-05	7.13161836e-02	1.37973833e+10
1.64519059e-05	7.28110369e-02	1.37973784e+10
1.67967487e-05	7.43372241e-02	1.37973734e+10
1.71488197e-05	7.58954021e-02	1.37973684e+10
1.75082703e-05	7.74862414e-02	1.37973632e+10
1.78752553e-05	7.91104267e-02	1.37973579e+10
1.82499324e-05	8.07686568e-02	1.37973525e+10
1.86324631e-05	8.24616456e-02	1.37973470e+10
1.90230119e-05	8.41901216e-02	1.37973413e+10
1.94217468e-05	8.59548286e-02	1.37973356e+10
1.98288395e-05	8.77565262e-02	1.37973297e+10
2.02444651e-05	8.95959897e-02	1.37973237e+10
2.06688025e-05	9.14740108e-02	1.37973176e+10
2.11020343e-05	9.33913977e-02	1.37973113e+10
2.15443469e-05	9.53489757e-02	1.37973049e+10
2.19959307e-05	9.73475871e-02	1.37972984e+10
2.24569800e-05	9.93880923e-02	1.37972917e+10
2.29276931e-05	1.01471369e-01	1.37972850e+10
2.34082728e-05	1.03598315e-01	1.37972780e+10
2.38989257e-05	1.05769844e-01	1.37972709e+10
2.43998630e-05	1.07986891e-01	1.37972637e+10
2.49113003e-05	1.10250411e-01	1.37972563e+10
2.54334576e-05	1.12561378e-01	1.37972488e+10
2.59665597e-05	1.14920786e-01	1.37972411e+10
2.65108360e-05	1.17329651e-01	1.37972332e+10
2.70665207e-05	1.19789009e-01	1.37972252e+10
2.76338529e-05	1.22299920e-01	1.37972170e+10
2.82130768e-05	1.24863463e-01	1.37972087e+10
2.88044415e-05	1.27480741e-01	1.37972001e+10
2.94082017e-05	1.30152882e-01	1.37971914e+10
3.00246171e-05	1.32881036e-01	1.37971825e+10
3.06539530e-05	1.35666376e-01	1.37971734e+10
3.12964801e-05	1.38510102e-01	1.37971642e+10
3.19524751e-05	1.41413436e-01	1.37971547e+10
3.26222201e-05	1.44377630e-01	1.37971450e+10
3.33060034e-05	1.47403958e-01	1.37971352e+10
3.40041193e-05	1.50493723e-01	1.37971251e+10
3.47168682e-05	1.53648256e-01	1.37971148e+10
3.54445567e-05	1.56868912e-01	1.37971043e+10
3.61874981e-05	1.60157080e-01	1.37970936e+10
3.69460121e-05	1.63514174e-01	1.37970826e+10
3.77204249e-05	1.66941639e-01	1.37970714e+10
3.85110700e-05	1.70440949e-01	1.37970600e+10
3.93182876e-05	1.74013613e-01	1.37970484e+10
4.01424249e-05	1.77661166e-01	1.37970365e+10
4.09838367e-05	1.81385178e-01	1.37970243e+10
4.18428851e-05	1.85187254e-01	1.37970119e+10
4.27199397e-05	1.89069029e-01	1.37969993e+10
4.36153779e-05	1.93032174e-01	1.37969864e+10
4.45295851e-05	1.97078395e-01	1.37969732e+10
4.54629547e-05	2.01209432e-01	1.37969597e+10
4.64158883e-05	2.05427066e-01	1.37969459e+10
4.73887961e-05	2.09733110e-01	1.37969319e+10
4.83820966e-05	2.14129418e-01	1.37969176e+10
4.93962174e-05	2.18617883e-01	1.37969029e+10
5.04315949e-05	2.23200436e-01	1.37968880e+10
5.14886745e-05	2.27879050e-01	1.37968727e+10
5.25679112e-05	2.32655739e-01	1.37968571e+10
5.36697695e-05	2.37532558e-01	1.37968412e+10
5.47947234e-05	2.42511608e-01	1.37968250e+10
5.59432571e-05	2.47595030e-01	1.37968084e+10
5.71158648e-05	2.52785013e-01	1.37967915e+10
5.83130511e-05	2.58083792e-01	1.37967742e+10
5.95353313e-05	2.63493647e-01	1.37967566e+10
6.07832313e-05	2.69016906e-01	1.37967386e+10
6.20572881e-05	2.74655947e-01	1.37967202e+10
6.33580499e-05	2.80413198e-01	1.37967014e+10
6.46860766e-05	2.86291136e-01	1.37966822e+10
6.60419396e-05	2.92292293e-01	1.37966627e+10
6.74262224e-05	2.98419250e-01	1.37966427e+10
6.88395207e-05	3.04674646e-01	1.37966223e+10
7.02824426e-05	3.11061173e-01	1.37966015e+10
7.17556092e-05	3.17581581e-01	1.37965802e+10
7.32596543e-05	3.24238675e-01	1.37965585e+10
7.47952252e-05	3.31035323e-01	1.37965363e+10
7.63629826e-05	3.37974450e-01	1.37965137e+10
7.79636013e-05	3.45059043e-01	1.37964906e+10
7.95977700e-05	3.52292151e-01	1.37964670e+10
8.12661920e-05	3.59676889e-01	1.37964429e+10
8.29695852e-05	3.67216435e-01	1.37964183e+10
8.47086827e-05	3.74914035e-01	1.37963932e+10
8.64842328e-05	3.82773004e-01	1.37963676e+10
8.82969996e-05	3.90796724e-01	1.37963415e+10
9.01477631e-05	3.98988649e-01	1.37963147e+10
9.20373200e-05	4.07352307e-01	1.37962875e+10
9.39664831e-05	4.15891297e-01	1.37962596e+10
9.59360829e-05	4.24609297e-01	1.37962312e+10
9.79469667e-05	4.33510058e-01	1.37962022e+10
1.00000000e-04	4.42597414e-01	1.37961726e+10
1.02096066e-04	4.51875277e-01	1.37961423e+10
1.04236067e-04	4.61347640e-01	1.37961114e+10
1.06420924e-04	4.71018583e-01	1.37960799e+10
1.08651577e-04	4.80892268e-01	1.37960477e+10
1.10928986e-04	4.90972947e-01	1.37960148e+10
1.13254132e-04	5.01264961e-01	1.37959813e+10
1.15628013e-04	5.11772739e-01	1.37959470e+10
1.18051653e-04	5.22500808e-01	1.37959120e+10
1.20526094e-04	5.33453785e-01	1.37958763e+10
1.23052400e-04	5.44636386e-01	1.37958399e+10
1.25631660e-04	5.56053427e-01	1.37958026e+10
1.28264983e-04	5.67709823e-01	1.37957646e+10
1.30953502e-04	5.79610594e-01	1.37957258e+10
1.33698374e-04	5.91760864e-01	1.37956862e+10
1.36500781e-04	6.04165864e-01	1.37956458e+10
1.39361927e-04	6.16830936e-01	1.37956045e+10
1.42283046e-04	6.29761534e-01	1.37955623e+10
1.45265393e-04	6.42963226e-01	1.37955193e+10
1.48310251e-04	6.56441696e-01	1.37954753e+10
1.51418933e-04	6.70202749e-01	1.37954305e+10
1.54592774e-04	6.84252310e-01	1.37953847e+10
1.57833141e-04	6.98596431e-01	1.37953379e+10
1.61141428e-04	7.13241287e-01	1.37952902e+10
1.64519059e-04	7.28193186e-01	1.37952414e+10
1.67967487e-04	7.43458566e-01	1.37951917e+10
1.71488197e-04	7.59044002e-01	1.37951409e+10
1.75082703e-04	7.74956207e-01	1.37950890e+10
1.78752553e-04	7.91202032e-01	1.37950360e+10
1.82499324e-04	8.07788475e-01	1.37949820e+10
1.86324631e-04	8.24722680e-01	1.37949268e+10
1.90230119e-04	8.42011939e-01	1.37948704e+10
