# redshift	D_L [Mpc]	Age [yr]
8.29695852e-05	3.58847028e-01	1.37677289e+10
8.47086827e-05	3.66369199e-01	1.37677043e+10
8.64842328e-05	3.74049062e-01	1.37676793e+10
8.82969996e-05	3.81889921e-01	1.37676537e+10
9.01477631e-05	3.89895153e-01	1.37676276e+10
9.20373200e-05	3.98068204e-01	1.37676010e+10
9.39664831e-05	4.06412593e-01	1.37675738e+10
9.59360829e-05	4.14931912e-01	1.37675460e+10
9.79469667e-05	4.23629828e-01	1.37675176e+10
1.00000000e-04	4.32510087e-01	1.37674887e+10
1.02096066e-04	4.41576511e-01	1.37674591e+10
1.04236067e-04	4.50833004e-01	1.37674289e+10
1.06420924e-04	4.60283552e-01	1.37673981e+10
1.08651577e-04	4.69932223e-01	1.37673667e+10
1.10928986e-04	4.79783171e-01	1.37673345e+10
1.13254132e-04	4.89840638e-01	1.37673017e+10
1.15628013e-04	5.00108954e-01	1.37672683e+10
1.18051653e-04	5.10592541e-01	1.37672341e+10
1.20526094e-04	5.21295911e-01	1.37671992e+10
1.23052400e-04	5.32223674e-01	1.37671636e+10
1.25631660e-04	5.43380534e-01	1.37671272e+10
1.28264983e-04	5.54771297e-01	1.37670900e+10
1.30953502e-04	5.66400866e-01	1.37670521e+10
1.33698374e-04	5.78274249e-01	1.37670134e+10
1.36500781e-04	5.90396559e-01	1.37669739e+10
1.39361927e-04	6.02773016e-01	1.37669335e+10
1.42283046e-04	6.15408948e-01	1.37668923e+10
1.45265393e-04	6.28309798e-01	1.37668503e+10
1.48310251e-04	6.41481120e-01	1.37668074e+10
1.51418933e-04	6.54928588e-01	1.37667635e+10
1.54592774e-04	6.68657990e-01	1.37667188e+10
1.57833141e-04	6.82675241e-01	1.37666731e+10
1.61141428e-04	6.96986376e-01	1.37666264e+10
1.64519059e-04	7.11597558e-01	1.37665788e+10
1.67967487e-04	7.26515081e-01	1.37665301e+10
1.71488197e-04	7.41745367e-01	1.37664805e+10
1.75082703e-04	7.57294978e-01	1.37664298e+10
1.78752553e-04	7.73170609e-01	1.37663780e+10
1.82499324e-04	7.89379098e-01	1.37663252e+10
1.86324631e-04	8.05927427e-01	1.37662713e+10
1.90230119e-04	8.22822721e-01	1.37662162e+10
1.94217468e-04	8.40072259e-01	1.37661600e+10
1.98288395e-04	8.57683471e-01	1.37661026e+10
2.02444651e-04	8.75663940e-01	1.37660440e+10
2.06688025e-04	8.94021414e-01	1.37659841e+10
2.11020343e-04	9.12763798e-01	1.37659230e+10
2.15443469e-04	9.31899167e-01	1.37658607e+10
2.19959307e-04	9.51435762e-01	1.37657970e+10
2.24569800e-04	9.71382001e-01	1.37657320e+10
2.29276931e-04	9.91746474e-01	1.37656656e+10
2.34082728e-04	1.01253796e+00	1.37655978e+10
2.38989257e-04	1.03376540e+00	1.37655286e+10
2.43998630e-04	1.05543796e+00	1.37654580e+10
2.49113003e-04	1.07756496e+00	1.37653859e+10
2.54334576e-04	1.10015595e+00	1.37653123e+10
2.59665597e-04	1.12322064e+00	1.37652371e+10
2.65108360e-04	1.14676899e+00	1.37651603e+10
2.70665207e-04	1.17081113e+00	1.37650820e+10
2.76338529e-04	1.19535743e+00	1.37650020e+10
2.82130768e-04	1.22041846e+00	1.37649203e+10
2.88044415e-04	1.24600502e+00	1.37648369e+10
2.94082017e-04	1.27212814e+00	1.37647518e+10
3.00246171e-04	1.29879907e+00	1.37646649e+10
3.06539530e-04	1.32602931e+00	1.37645762e+10
3.12964801e-04	1.35383059e+00	1.37644856e+10
3.19524751e-04	1.38221489e+00	1.37643931e+10
3.26222201e-04	1.41119444e+00	1.37642987e+10
3.33060034e-04	1.44078174e+00	1.37642023e+10
3.40041193e-04	1.47098954e+00	1.37641038e+10
